ConvertedComp,Country,EdLevel,YearsCode,YearsCodePro
105000.0,United States,6,1,0
104000.0,United States,6,1,0
89500.0,United States,6,1,0
87500.0,United States,6,1,0
80000.0,United States,5,1,0
80000.0,United States,5,1,0
80000.0,United States,5,1,0
80000.0,United States,5,1,0
75000.0,United States,6,1,1
75000.0,United States,5,1,0
75000.0,United States,5,1,0
70000.0,United States,5,1,0
70000.0,United States,6,1,0
68000.0,United States,3,1,1
65000.0,United States,6,1,0
65000.0,United States,5,1,0
65000.0,United States,5,1,0
64000.0,United States,3,1,1
63000.0,United States,5,1,0
63000.0,United States,4,1,2
62000.0,United States,5,1,0
61000.0,United States,5,1,0
60000.0,United States,5,1,0
60000.0,United States,5,1,1
60000.0,United States,3,1,0
60000.0,United States,3,1,0
60000.0,United States,3,1,1
57000.0,United States,3,1,0
55000.0,United States,2,1,1
53000.0,United States,5,1,0
51250.0,United States,2,1,1
50000.0,United States,5,1,0
50000.0,United States,2,1,1
50000.0,United States,3,1,1
47500.0,United States,3,1,0
46000.0,United States,5,1,0
45000.0,United States,5,1,0
45000.0,United States,5,1,0
45000.0,United States,5,1,0
45000.0,United States,2,1,0
44000.0,United States,5,1,0
44000.0,United States,5,1,0
43000.0,United States,5,1,0
35000.0,United States,4,1,1
35000.0,United States,5,1,0
31000.0,United States,4,1,0
31000.0,United States,4,1,0
31000.0,United States,4,1,0
30000.0,United States,5,1,1
30000.0,United States,2,1,0
24000.0,United States,1,1,0
19000.0,United States,4,1,0
18000.0,United States,3,1,0
16000.0,United States,4,1,0
16000.0,United States,4,1,0
16000.0,United States,3,1,0
15000.0,United States,3,1,0
14000.0,United States,3,1,0
13000.0,United States,0,1,0
12000.0,United States,3,1,1
11000.0,United States,3,1,0
160000.0,United States,6,2,1
150000.0,United States,5,2,1
150000.0,United States,5,2,2
150000.0,United States,6,2,1
135000.0,United States,5,2,1
130000.0,United States,5,2,2
130000.0,United States,6,2,2
130000.0,United States,3,2,1
125000.0,United States,0,2,1
120000.0,United States,5,2,1
110000.0,United States,5,2,1
105000.0,United States,7,2,0
100000.0,United States,5,2,0
100000.0,United States,5,2,2
100000.0,United States,5,2,1
100000.0,United States,5,2,2
100000.0,United States,7,2,0
95000.0,United States,5,2,1
92000.0,United States,5,2,1
91000.0,United States,5,2,2
91000.0,United States,5,2,1
90000.0,United States,5,2,1
90000.0,United States,5,2,1
90000.0,United States,5,2,1
90000.0,United States,3,2,2
90000.0,United States,3,2,0
86250.0,United States,6,2,2
85000.0,United States,5,2,2
85000.0,United States,5,2,1
85000.0,United States,5,2,0
84000.0,United States,5,2,2
83500.0,United States,5,2,1
80000.0,United States,5,2,2
80000.0,United States,5,2,0
80000.0,United States,6,2,2
80000.0,United States,6,2,1
80000.0,United States,3,2,1
79000.0,United States,5,2,1
78000.0,United States,6,2,1
77000.0,United States,5,2,0
77000.0,United States,6,2,0
76000.0,United States,5,2,0
76000.0,United States,6,2,2
75000.0,United States,5,2,1
75000.0,United States,5,2,1
75000.0,United States,5,2,0
75000.0,United States,5,2,0
75000.0,United States,3,2,2
75000.0,United States,3,2,2
74000.0,United States,5,2,0
72500.0,United States,5,2,1
72000.0,United States,5,2,0
72000.0,United States,5,2,1
72000.0,United States,5,2,1
71500.0,United States,5,2,1
71000.0,United States,5,2,2
70000.0,United States,4,2,2
70000.0,United States,4,2,0
70000.0,United States,4,2,2
70000.0,United States,5,2,1
70000.0,United States,5,2,1
70000.0,United States,5,2,0
70000.0,United States,5,2,1
70000.0,United States,5,2,10
70000.0,United States,8,2,2
70000.0,United States,5,2,1
69000.0,United States,5,2,2
68000.0,United States,5,2,0
67000.0,United States,6,2,0
66540.0,United States,6,2,1
65000.0,United States,5,2,1
65000.0,United States,5,2,2
65000.0,United States,5,2,0
65000.0,United States,1,2,0
65000.0,United States,2,2,2
65000.0,United States,3,2,0
65000.0,United States,3,2,2
64000.0,United States,5,2,1
63000.0,United States,5,2,1
62000.0,United States,5,2,1
61000.0,United States,6,2,0
61000.0,United States,3,2,2
60500.0,United States,5,2,1
60000.0,United States,5,2,1
60000.0,United States,5,2,1
60000.0,United States,6,2,0
58000.0,United States,5,2,1
57600.0,United States,3,2,1
57500.0,United States,3,2,0
57000.0,United States,5,2,2
55000.0,United States,5,2,1
55000.0,United States,5,2,0
53000.0,United States,5,2,1
52000.0,United States,2,2,2
50000.0,United States,5,2,0
50000.0,United States,5,2,0
50000.0,United States,5,2,1
50000.0,United States,2,2,1
48500.0,United States,3,2,1
48000.0,United States,5,2,0
48000.0,United States,5,2,2
48000.0,United States,5,2,0
47000.0,United States,3,2,1
46000.0,United States,2,2,1
45000.0,United States,5,2,0
45000.0,United States,5,2,0
45000.0,United States,5,2,0
45000.0,United States,5,2,2
45000.0,United States,5,2,1
45000.0,United States,2,2,1
44000.0,United States,5,2,1
42000.0,United States,4,2,0
42000.0,United States,5,2,0
42000.0,United States,5,2,0
40000.0,United States,5,2,1
40000.0,United States,5,2,9
36000.0,United States,3,2,0
35000.0,United States,3,2,0
35000.0,United States,3,2,1
28000.0,United States,4,2,2
24000.0,United States,4,2,1
21000.0,United States,3,2,2
21000.0,United States,3,2,0
21000.0,United States,3,2,0
20000.0,United States,4,2,0
